,Cities,Countries,Population
51261,Sun Lakes,USA,13975.0
51262,Lupara,Italien,503.0
51263,Colonie,USA,7906.0
51264,Guazzino,Italien,1004.0
51265,Ricse,Ungern,1907.0
51266,West Sand Lake,USA,2660.0
51267,Guayabal de Síquima,Colombia,1051.0
51268,Al Mazra‘ah,Syria,0.0
51269,Kaytitinga,Filippinerna,4610.0
51270,Dun-le-Palestel,Frankrike,1125.0
51271,South Yunderup,Australien,2235.0
51272,Tamanco,Peru,0.0
51273,Vista,USA,100890.0
51274,Newport,USA,1776.0
51275,Vourey,Frankrike,1668.0
51276,Meucon,Frankrike,1361.0
51277,San Germán,Puerto Rico,12055.0
51278,Takanini,Nya Zeeland,10870.0
51279,Rogersville,USA,1231.0
51280,Wola Batorska,Polen,2520.0
51281,Würenlos,Schweiz,5497.0
51282,Łaziska,Polen,1689.0
51283,Belleville,USA,3880.0
51284,Narros,Spanien,52.0
51285,Limbourg,Belgien,5612.0
51286,Călăraşi,Rumänien,6687.0
51287,North Aurora,USA,17456.0
51288,Batāla,Indien,145468.0
51289,Neral,Indien,16060.0
51290,Sumidero,Mexiko,3959.0
51291,Peabody,USA,1144.0
51292,Franklinton,USA,2135.0
51293,Kommunar,Ryssland,3135.0
51294,Aups,Frankrike,2113.0
51295,Masera,Italien,1349.0
51296,Castroverde,Spanien,3218.0
51297,Kokino,Ryssland,4616.0
51298,Vulturu,Rumänien,741.0
51299,Yanghou,Kina,2530.0
51300,Mérida,Mexiko,1412.0
51301,Le Casine-Perignano-Spinelli,Italien,3263.0
51302,Pamproux,Frankrike,1682.0
51303,Oğuzlar,Turkiet,0.0
51304,Rešetari,Kroatien,2685.0
51305,Aradeo,Italien,9570.0
51306,La Luz,Venezuela,0.0
51307,Atakent,Kazakstan,12895.0
51308,Los Dos Caminos,Venezuela,58168.0
51309,Sammeron,Frankrike,1044.0
51310,Chern’,Ryssland,6689.0
51311,Lake Nacimiento,USA,2411.0
51312,Hornbach,Tyskland,1717.0
51313,Trebisacce,Italien,8465.0
51314,Bichiş,Rumänien,1023.0
51315,Soufrière,Saint Lucia,2918.0
51316,Gradec,Makedonien,3751.0
51317,Kholbon,Ryssland,2537.0
51318,Coll de Nargó,Spanien,601.0
51319,Porto Empedocle,Italien,16574.0
51320,La Paz de Carazo,Nicaragua,2454.0
51321,Yawatahama,Japan,0.0
51322,Boseong,Sydkorea,0.0
51323,Vähäkyrö,Finland,4638.0
51324,Santo Tomás de los Plátanos,Mexiko,766.0
51325,Quincinetto,Italien,1036.0
51326,Villa Mercedes,Argentina,96781.0
51327,Römerswil,Schweiz,1882.0
51328,Lusignan,Frankrike,2871.0
51329,Purísima del Progreso,Mexiko,1932.0
51330,Villaralbo,Spanien,1672.0
51331,Osøyro,Norge,0.0
51332,Short Pump,USA,24729.0
51333,Eatontown,USA,12301.0
51334,Scherpenzeel,Nederländerna,8820.0
51335,Bethany Beach,USA,1170.0
51336,Hamur,Turkiet,4233.0
51337,Puerto Adolfo Lopez Mateos,Mexiko,2212.0
51338,Slavyanka,Ryssland,14687.0
51339,Jalalpur Jattan,Pakistan,93883.0
51340,Sagaing,Myanmar,78739.0
51341,Pove del Grappa,Italien,3044.0
51342,Carrodano,Italien,545.0
51343,Highmore,USA,779.0
51344,Carmen Zacatal,Mexiko,2579.0
51345,Brunswick East,Australien,8476.0
51346,Saint-Jérôme,Frankrike,10087.0
51347,Beinette,Italien,2658.0
51348,Fällanden,Schweiz,2100.0
51349,Kamiennik,Polen,702.0
51350,Burlington,USA,3720.0
51351,Podbrdo,Bosnien och Hercegovina,4028.0
51352,Mercersburg,USA,1558.0
51353,Faldarlı,Azerbajdzjan,1767.0
51354,Großbartloff,Tyskland,1021.0
51355,Chāmpua,Indien,9487.0
51356,Ricardo Flores Magón,Mexiko,1467.0
51357,Justiniano Posse,Argentina,7406.0
51358,Bontoc,Filippinerna,0.0
51359,Lumberton,USA,21667.0
51360,Reitberg,Austria,1156.0
51361,Corredor,Costa Rica,7084.0
51362,San Bernardino Tlaxcalancingo,Mexiko,54517.0
51363,Mitry-Mory,Frankrike,18562.0
51364,Ōamishirasato,Japan,0.0
51365,Kazimierza Wielka,Polen,5696.0
51366,Reguiba,Algeriet,62185.0
51367,Hornówek,Polen,1054.0
51368,Gorshkovo,Ryssland,2386.0
51369,Mânău,Rumänien,1179.0
51370,Cantley,Kanada,10412.0
51371,Riardo,Italien,1717.0
51372,Rietschen,Tyskland,3072.0
51373,White Pigeon,USA,1514.0
51374,Munchhouse,Frankrike,1490.0
51375,Comana de Jos,Rumänien,1020.0
51376,Aspendale Gardens,Australien,7319.0
51377,Mets Parni,Armenia,1934.0
51378,Gerstungen,Tyskland,3865.0
51379,Altzaga,Spanien,0.0
51380,Madridejos,Spanien,11404.0
51381,Shirwal,Indien,12703.0
51382,Oropesa,Peru,0.0
51383,Słubice,Polen,17567.0
51384,Santa Teresa del Tuy,Venezuela,278890.0
51385,Luc-sur-Mer,Frankrike,3171.0
51386,Bruck an der Mur,Austria,9093.0
51387,Tajikobod,Tajikistan,0.0
51388,Lyantonde,Uganda,8039.0
51389,Erfelek,Turkiet,3596.0
51390,Ugoofaaru,Maldiverna,1575.0
51391,Cabezas del Villar,Spanien,419.0
51392,Muromtsevo,Ryssland,11147.0
51393,Fontainemelon,Schweiz,1647.0
51394,Reichartshausen,Tyskland,1926.0
51395,Hărțăgani,Rumänien,1101.0
51396,Gladbeck,Tyskland,76940.0
51397,Martizay,Frankrike,1062.0
51398,Alīpur,Indien,20736.0
51399,Bagheria,Italien,52952.0
51400,Gâlâfi,Djibouti,1849.0
51401,Prügy,Ungern,2568.0
51402,Berlicum,Nederländerna,4250.0
51403,Păltiniş,Rumänien,2595.0
51404,Dostpur,Indien,12688.0
51405,Taurasi,Italien,1913.0
51406,Collebeato,Italien,4305.0
51407,Nueva Cajamarca,Peru,0.0
51408,Krivodol,Bulgarien,3651.0
51409,Vareiá,Grekland,1133.0
51410,Lucino-Rodano,Italien,2082.0
51411,Sungaigampa,Indonesien,0.0
51412,Lytle,USA,2869.0
51413,Orleans,USA,1621.0
51414,Lemont,USA,16788.0
51415,Llano Largo,Mexiko,2191.0
51416,Osmate,Italien,771.0
51417,Normandy,United Kingdom,1563.0
51418,Sadjoavato,Madagaskar,7600.0
51419,Pszczółki,Polen,4053.0
51420,Monk Fryston,United Kingdom,1728.0
51421,Molve,Kroatien,1544.0
51422,Rościszewo,Polen,668.0
51423,San Antonio Molinos,Mexiko,1023.0
51424,Frastanz,Austria,6434.0
51425,Buur Gaabo,Somalia,3096.0
51426,Goght’,Armenia,1877.0
51427,Mandeville,USA,12345.0
51428,Beynat,Frankrike,1233.0
51429,Albano di Lucania,Italien,1254.0
51430,Assis,Brasilien,101597.0
51431,Kisii,Kenya,28547.0
51432,Nocera Superiore,Italien,23452.0
51433,Geumseong,Sydkorea,0.0
51434,Needham Market,United Kingdom,4528.0
51435,Fraijanes,Guatemala,28492.0
51436,Cantoria,Spanien,3502.0
51437,Alunișu,Rumänien,409.0
51438,Mihăeşti,Rumänien,6263.0
51439,Kozłowo,Polen,3000.0
51440,Binhu,Kina,0.0
51441,Waretown,USA,1569.0
51442,Perryton,USA,9252.0
51443,Alpine,USA,14236.0
51444,Luring,Kina,0.0
51445,Heaton Chapel,United Kingdom,3296.0
51446,Triebendorf,Austria,2.0
51447,Fuentes de León,Spanien,2652.0
51448,Centro de Readaptación Social Nuevo,Mexiko,2203.0
51449,Manalad,Filippinerna,3151.0
51450,Waynesboro,USA,5704.0
51451,Jaguarari,Brasilien,22612.0
51452,Fernhurst,United Kingdom,2106.0
51453,Margaritas,Mexiko,2108.0
51454,Santa Apolonia,Guatemala,2396.0
51455,Macherio,Italien,6999.0
51456,Alcañices,Spanien,1089.0
51457,Asprópyrgos,Grekland,30251.0
51458,Bílovice nad Svitavou,Czechia,2600.0
51459,Nezamyslice,Czechia,1278.0
51460,La Magdalena Yancuitlalpan,Mexiko,2210.0
51461,Noyabrsk,Ryssland,110000.0
51462,Rosbach vor der Höhe,Tyskland,11741.0
51463,Ujoh Bilang,Indonesien,0.0
51464,Window Rock,USA,2712.0
51465,Orcotuna,Peru,4199.0
51466,Roşia de Amaradia,Rumänien,3463.0
51467,Estancia,Filippinerna,11050.0
51468,Carpinone,Italien,1131.0
51469,Iztapa,Guatemala,4020.0
51470,Avilla,USA,2413.0
51471,Jaicós,Brasilien,7107.0
51472,Teicha,Tyskland,1479.0
51473,Jalālābād,Indien,35051.0
51474,Oława,Polen,30898.0
51475,Nyamanari,Gambia,2090.0
51476,Erli,Italien,184.0
51477,An Nuşayrāt,Palestinian Territory,36123.0
51478,Patong,Filippinerna,2498.0
51479,Urjala,Finland,5542.0
51480,Birlenbach,Tyskland,1587.0
51481,Cerdido,Spanien,1535.0
51482,Acalco,Mexiko,1100.0
51483,Ostiano,Italien,2808.0
51484,Fort Smith,USA,88194.0
51485,Tixpehual,Mexiko,3470.0
51486,Frumuşica,Rumänien,6069.0
51487,Frontera,Spanien,4010.0
51488,Marnheim,Tyskland,1642.0
51489,Lae,Marshall Islands,319.0
51490,Memmingerberg,Tyskland,2579.0
51491,Orangetree,USA,4406.0
51492,Lepenoú,Grekland,2090.0
51493,Vârfuri,Rumänien,2086.0
51494,Zacacuautla,Mexiko,1317.0
51495,La Roche-Maurice,Frankrike,1791.0
51496,Niigata,Japan,505272.0
51497,Roturas,Spanien,32.0
51498,Pader,Uganda,11600.0
51499,Macotera,Spanien,1525.0
51500,Al Ḩarf,Yemen,0.0
51501,Antúnez,Mexiko,8591.0
51502,Sribne,Ukraina,3534.0
51503,Alcázar del Rey,Spanien,213.0
51504,Udhampur,Indien,80447.0
51505,Pushkino,Ukraina,1098.0
51506,Republic,USA,1072.0
51507,Ramenskoye,Ryssland,96000.0
51508,San Diego,Mexiko,1063.0
51509,Kantyshevo,Ryssland,17363.0
51510,Korsør,Danmark,15029.0
51511,Vione,Italien,272.0
51512,Rāzām,Indien,27832.0
51513,Batangtoru,Indonesien,0.0
51514,Ertingen,Tyskland,5516.0
51515,Horsley Park,Australien,1936.0
51516,Madambakkam,Indien,17058.0
51517,Redecilla del Camino,Spanien,143.0
51518,Chester Springs,USA,7520.0
51519,La Planche,Frankrike,2239.0
51520,Narasannapeta,Indien,24267.0
51521,Laguna Larga,Mexiko,1167.0
51522,Aleksandrovka,Ukraina,1301.0
51523,Irrua,Nigeria,0.0
51524,Alderholt,United Kingdom,2848.0
51525,Thinadhoo,Maldiverna,6376.0
51526,Sinjār,Irak,38294.0
51527,Mamponteng,Ghana,0.0
51528,Alabushevo,Ryssland,2733.0
51529,Saint-Vigor-le-Grand,Frankrike,1962.0
51530,Calzadas,Mexiko,3388.0
51531,Zomergem,Belgien,8158.0
51532,Apúlia e Fão,Portugal,7301.0
51533,Tomendán,Mexiko,1291.0
51534,Mont-Saint-Aignan,Frankrike,23078.0
51535,Plaridel,Filippinerna,5110.0
51536,Piano,Italien,4745.0
51537,Qingzhou,Kina,117056.0
51538,Alondra Park,USA,8592.0
51539,Ixil,Mexiko,3728.0
51540,Gourin,Frankrike,5005.0
51541,Bodri,Indien,14491.0
51542,Shuimogou,Kina,0.0
51543,Winooski,USA,7193.0
51544,Thị Trấn Thất Khê,Vietnam,0.0
51545,Kuala Baru Sungai,Indonesien,0.0
51546,Llano de Zacapexco,Mexiko,1942.0
51547,Valtice,Czechia,3656.0
51548,Elsterwerda,Tyskland,9694.0
51549,Freiburg,Tyskland,1890.0
51550,Ojo de Agua de Crucitas,Mexiko,1078.0
51551,Épehy,Frankrike,1121.0
51552,Jomda,Kina,0.0
51553,Vilsbiburg,Tyskland,11416.0
51554,Békéssámson,Ungern,2581.0
51555,Camden,USA,7085.0
51556,Milzano,Italien,1748.0
51557,Tqibuli,Georgien,13201.0
51558,Deli Tua,Indonesien,27940.0
51559,Ejido la Joya,Mexiko,1587.0
51560,Foundiougne,Senegal,5306.0
51561,San Sebastián de Aparicio,Mexiko,6644.0
51562,Chrysochórafa,Grekland,1023.0
51563,Itanhaém,Brasilien,90385.0
51564,Błonie,Polen,12195.0
51565,Le Pin-en-Mauges,Frankrike,1237.0
51566,Sayat,Frankrike,2359.0
51567,Grimsby,United Kingdom,134160.0
51568,Vityazevo,Ryssland,6104.0
51569,Weilerswist,Tyskland,16321.0
51570,Fărcaşa,Rumänien,3173.0
51571,Hartburn,United Kingdom,0.0
51572,Saraza,Filippinerna,2533.0
51573,Weichselbaum,Austria,133.0
51574,Trilj,Kroatien,2393.0
51575,Helsinge,Danmark,7354.0
51576,Arnfels,Austria,837.0
51577,Marles-les-Mines,Frankrike,6198.0
51578,Iquique,Chile,227499.0
51579,Vila Cova,Portugal,2564.0
51580,Santiago de Alcántara,Spanien,0.0
51581,Eibiswald,Austria,1423.0
51582,Rozkishne,Ukraina,6205.0
51583,Pine,USA,1963.0
51584,Kleinostheim,Tyskland,8409.0
51585,Ingleburn,Australien,13902.0
51586,Dikbıyık,Turkiet,0.0
51587,Barrio Tlatenco,Mexiko,3305.0
51588,Margasari,Indonesien,0.0
51589,Ninacaca,Peru,0.0
51590,Santiago Cuautlalpan,Mexiko,12336.0
51591,Abtenau,Austria,1188.0
51592,Bischberg,Tyskland,5819.0
51593,Podgórzyn,Polen,1700.0
51594,Lashio,Myanmar,131016.0
51595,Obersiebenbrunn,Austria,1708.0
51596,San Pedro de Rozados,Spanien,343.0
51597,Novyy Svit,Ukraina,9488.0
51598,Ciudad Río Bravo,Mexiko,95647.0
51599,La Unidad Huitzizilapan,Mexiko,1132.0
51600,Sayama,Japan,160843.0
51601,Sandoná,Colombia,10401.0
51602,Travagliato,Italien,12828.0
51603,Montbonnot-Saint-Martin,Frankrike,4632.0
51604,Alcoy,Spanien,61552.0
51605,Kortemark,Belgien,11937.0
51606,Buriti Bravo,Brasilien,17692.0
51607,Chakkarat,Thailand,0.0
51608,Kisvárda,Ungern,18190.0
51609,Horezu,Rumänien,6743.0
51610,Vuktyl,Ryssland,13693.0
51611,Raceland,USA,10193.0
51612,Huayuan,Kina,0.0
51613,Bet Yiẕẖaq,Israel,1674.0
51614,Stenhousemuir,United Kingdom,10050.0
51615,Hicksville,USA,3457.0
51616,Banmankhi,Indien,26806.0
51617,Hacienda la Cruz [Fraccionamiento],Mexiko,2373.0
51618,Bangao,Filippinerna,3902.0
51619,Afonso Cláudio,Brasilien,13543.0
51620,Koptëvo,Ryssland,9700.0
51621,Le Vaud,Schweiz,1104.0
51622,Kalungu,Uganda,0.0
51623,Banovo Polje,Serbien,1732.0
51624,Slavyanovo,Bulgarien,4793.0
51625,Yook,Filippinerna,2820.0
51626,Müntschemier,Schweiz,1333.0
51627,Sennewitz,Tyskland,1684.0
51628,Tixcacaltuyub,Mexiko,2146.0
51629,Taranovskoye,Kazakstan,3130.0
51630,Ózd,Ungern,38476.0
51631,San Isidro,Filippinerna,4121.0
51632,Piranhas,Brasilien,9886.0
51633,Eichigt,Tyskland,1354.0
51634,Bogoslovka,Ryssland,4636.0
51635,Deville,USA,1764.0
51636,Souppes-sur-Loing,Frankrike,6002.0
51637,Autrans,Frankrike,1756.0
51638,Alto Longá,Brasilien,4435.0
51639,Weikendorf,Austria,1132.0
51640,Chambave,Italien,389.0
51641,Les Mureaux,Frankrike,32134.0
51642,Casaletto Lodigiano,Italien,377.0
51643,Jeongnyang,Sydkorea,0.0
51644,Thermal,USA,2865.0
51645,Beckdorf,Tyskland,2532.0
51646,Bérchules,Spanien,803.0
51647,Waterville,USA,1849.0
51648,Racines,Italien,4128.0
51649,Flatschach,Austria,180.0
51650,Shemordan,Ryssland,5887.0
51651,Carpi Centro,Italien,53024.0
51652,Vairano-Patenora,Italien,2963.0
51653,Tampate,Mexiko,3359.0
51654,Twin Grove,USA,1564.0
51655,Carora,Venezuela,93788.0
51656,Matagbak,Filippinerna,2893.0
51657,Schondra,Tyskland,1855.0
51658,Badenweiler,Tyskland,3829.0
51659,La Estancia,Mexiko,5992.0
51660,Westwood,USA,8653.0
51661,Rigolato,Italien,372.0
51662,Bœrsch,Frankrike,2256.0
51663,Valdagno,Italien,22555.0
51664,Luninyets,Vitryssland,25000.0
51665,Pomponne,Frankrike,3324.0
51666,Tanjungtiram,Indonesien,25118.0
51667,Kharar,Indien,45691.0
51668,Tanay,Schweiz,1124.0
51669,Wateringbury,United Kingdom,2396.0
51670,Kombissiri,Burkina Faso,30137.0
51671,Newark on Trent,United Kingdom,43363.0
51672,Sonari,Indien,0.0
51673,Scala Coeli,Italien,906.0
51674,Tlacotepec,Mexiko,5087.0
51675,Nettersheim,Tyskland,7901.0
51676,Fuente la Reina,Spanien,42.0
51677,Zürich (Kreis 4) / Aussersihl,Schweiz,27273.0
51678,Coudun,Frankrike,1034.0
51679,Cenadi,Italien,504.0
51680,Vonore,USA,1493.0
51681,Selles-Saint-Denis,Frankrike,1242.0
51682,Rebordões,Portugal,3368.0
51683,Machesney Park,USA,22927.0
51684,Sala Baganza,Italien,4517.0
51685,Non Sila,Thailand,0.0
51686,Lierneux,Belgien,3332.0
51687,Gardone Riviera,Italien,2059.0
51688,San Agustin de las Juntas,Mexiko,4921.0
51689,Conil de la Frontera,Spanien,20984.0
51690,Langenbach bei Marienberg,Tyskland,1052.0
51691,Carlsbad,USA,113453.0
51692,Many Farms,USA,1348.0
51693,Kraśniczyn,Polen,447.0
51694,Sidi Bouzid,Tunisien,42098.0
51695,Levice,Slovakien,37574.0
51696,Orvinio,Italien,409.0
51697,San Miguel,El Salvador,161880.0
51698,Croisilles,Frankrike,1176.0
51699,Poiana,Rumänien,3750.0
51700,Mendicino,Italien,1910.0
51701,Montegut,USA,1786.0
51702,Rillo,Spanien,121.0
51703,Huglfing,Tyskland,2476.0
51704,Knurów,Polen,39744.0
51705,Hanstedt Eins,Tyskland,1004.0
51706,Castilenti,Italien,456.0
51707,Ramagundam,Indien,235000.0
51708,Trafalgar,USA,1150.0
51709,Banana Village,Kiribati,1170.0
51710,Kalirejo,Indonesien,0.0
51711,Villar de Domingo García,Spanien,272.0
51712,Waspik,Nederländerna,5120.0
51713,Cottleville,USA,4723.0
51714,Rikaze,Kina,80000.0
51715,Saint-Nizier-sous-Charlieu,Frankrike,1632.0
51716,Osceola,USA,2511.0
51717,Kamenskiy,Ryssland,3617.0
51718,Fresneña,Spanien,106.0
51719,Dzyarzhynsk,Vitryssland,24609.0
51720,Hollidaysburg,USA,5784.0
51721,Ruhland,Tyskland,4083.0
51722,Villages of Oriole,USA,4755.0
51723,Mehadia,Rumänien,4336.0
51724,Laoang,Filippinerna,16725.0
51725,Kadirli,Turkiet,70248.0
51726,Frecăţei,Rumänien,3797.0
51727,Lugui,Filippinerna,2308.0
51728,Superior,USA,12980.0
51729,Lauderdale Lakes,USA,34796.0
51730,Pachelma,Ryssland,8620.0
51731,Three Lakes,USA,3184.0
51732,Oussivo,Comoros,1708.0
51733,Wohltorf,Tyskland,2249.0
51734,Jupânești,Rumänien,1123.0
51735,Rosepine,USA,1634.0
51736,Abbadia Cerreto,Italien,231.0
51737,Cagnes-sur-Mer,Frankrike,46923.0
51738,Ticala-an,Filippinerna,3389.0
51739,Saint-Georges-de-Reintembault,Frankrike,1841.0
51740,Tiergarten,Tyskland,12328.0
51741,Romanswiller,Frankrike,1262.0
51742,Belle-Anse,Haiti,2611.0
51743,Garhiyasin,Pakistan,14810.0
51744,Litovko,Ryssland,2670.0
51745,Cabra del Santo Cristo,Spanien,2239.0
51746,Novosysoyevka,Ryssland,4903.0
51747,Châteauneuf-les-Martigues,Frankrike,11496.0
51748,Peklenica,Kroatien,1217.0
51749,Asadīyeh,Iran,0.0
51750,Cervara di Roma,Italien,202.0
51751,Margaret River,Australien,5584.0
51752,Kitee,Finland,9777.0
51753,Antsahé,Comoros,1180.0
51754,Chardara,Kazakstan,25356.0
51755,Zweisimmen,Schweiz,2813.0
51756,Iedera de Sus,Rumänien,1272.0
51757,Dunkirk,USA,2630.0
51758,Colomadu,Indonesien,26274.0
51759,Song Dao,Thailand,0.0
51760,Velikiye Luki,Ryssland,103149.0
51761,Barrio la Tenería,Mexiko,1275.0
51762,Sigayevo,Ryssland,5780.0
51763,Carcans,Frankrike,1700.0
51764,Constant Spring,Jamaica,12830.0
51765,Alezio,Italien,5397.0
51766,Moncucco Torinese,Italien,272.0
51767,Livo,Italien,208.0
51768,Ghindești,Moldavien,2100.0
51769,Ştiubieni,Rumänien,2853.0
51770,Chalatenango,El Salvador,19364.0
51771,Lanestosa,Spanien,0.0
51772,Bystrogorskiy,Ryssland,3859.0
51773,Tägertschi,Schweiz,0.0
51774,Oberderdingen,Tyskland,10515.0
51775,Buenavista de Valdavia,Spanien,431.0
51776,Beltiug,Rumänien,3233.0
51777,Urzhum,Ryssland,11333.0
51778,Oberkotzau,Tyskland,5920.0
51779,Usab,Filippinerna,2404.0
51780,Ungureni-Jianu,Rumänien,6948.0
51781,La Paz,Mexiko,1043.0
51782,Semënov,Ryssland,24300.0
51783,Valle Nacional,Mexiko,5488.0
51784,Kardymovo,Ryssland,4951.0
51785,Montella,Italien,7199.0
51786,Riverton,USA,2748.0
51787,Al Juwayyidah,Jordan,0.0
51788,Monte Cremasco,Italien,2353.0
51789,Fairfield,USA,2638.0
51790,Läufelfingen,Schweiz,1271.0
51791,Lianga,Filippinerna,13623.0
51792,Aislingen,Tyskland,1455.0
51793,Unadilla,USA,3666.0
51794,Odžak,Bosnien och Hercegovina,11621.0
51795,Crasna,Rumänien,6233.0
51796,Kāmārhāti,Indien,332965.0
51797,Dürnstein,Austria,322.0
51798,Virginia City,USA,855.0
51799,Turmi,Etiopien,1087.0
51800,Montfort-en-Chalosse,Frankrike,1305.0
51801,Cermenate,Italien,8995.0
51802,Mûr-de-Bretagne,Frankrike,2183.0
51803,Almograve,Portugal,1356.0
51804,Straumen,Norge,1147.0
51805,Dichiseni,Rumänien,1836.0
51806,Huai Yot,Thailand,16586.0
51807,Beté,Colombia,0.0
51808,Teoloyucan,Mexiko,51255.0
51809,Oldehove,Nederländerna,1330.0
51810,Otatlán,Mexiko,1280.0
51811,Poputnaya,Ryssland,6279.0
51812,Tinajas 1ra. Sección,Mexiko,1055.0
51813,Ambulong,Filippinerna,2195.0
51814,Slagelse,Danmark,31896.0
51815,Hinganghāt,Indien,97568.0
51816,Betafo,Madagaskar,29785.0
51817,Nanhang,Kina,0.0
51818,Loma de Yerbabuena,Mexiko,1073.0
51819,Amorebieta,Spanien,17842.0
51820,Dipignano,Italien,1252.0
51821,Vermești,Rumänien,1970.0
51822,Tápióság,Ungern,2760.0
51823,Manowa,Sierra Leone,4214.0
51824,Nizwá,Oman,72076.0
51825,Szarów,Polen,1337.0
51826,Rosignano Marittimo,Italien,2342.0
51827,Orekhovo,Ukraina,3049.0
51828,Fernitz,Austria,3119.0
51829,Dania Beach,USA,31446.0
51830,Dangchengwan,Kina,0.0
51831,Golăiești,Rumänien,1783.0
51832,Campti,USA,1044.0
51833,Juquitiba,Brasilien,13959.0
51834,Spilamberto,Italien,8770.0
51835,Lalig,Filippinerna,14729.0
51836,Lasusua,Indonesien,0.0
51837,Teluknaga,Indonesien,128275.0
51838,Šabac,Serbien,55114.0
51839,Tipton,USA,5144.0
51840,Unirea,Rumänien,4225.0
51841,Saint-Cézaire-sur-Siagne,Frankrike,3383.0
51842,Atouguia da Baleia,Portugal,8313.0
51843,Villafranca de los Caballeros,Spanien,5181.0
51844,Teverola,Italien,12175.0
51845,Néa Plágia,Grekland,1127.0
51846,Qal‘eh Ganj,Iran,0.0
51847,Midyat,Turkiet,76268.0
51848,Meuselbach,Tyskland,1373.0
51849,Cañamares,Spanien,623.0
51850,Thị Trấn Bảo Lạc,Vietnam,0.0
51851,Guatavita,Colombia,1920.0
51852,Yangjinzhuang,Kina,1915.0
51853,Eastpointe,USA,32657.0
51854,Tsibanobalka,Ryssland,4548.0
51855,Alpanseque,Spanien,99.0
51856,Soyapango,El Salvador,329708.0
51857,Valle de Guanape,Venezuela,0.0
51858,Studenok,Ukraina,1440.0
51859,Altdorf,Schweiz,8678.0
51860,Esher,United Kingdom,52392.0
51861,Uporovo,Ryssland,5299.0
51862,Stronie Śląskie,Polen,6192.0
51863,Aguilares,Argentina,32494.0
51864,Centerville,USA,5288.0
51865,Bozovici,Rumänien,3187.0
51866,Sachsenheim,Tyskland,18594.0
51867,Goba,Etiopien,34369.0
51868,Miltenberg,Tyskland,9613.0
51869,Paw Paw,USA,3455.0
51870,Thủ Đức,Vietnam,0.0
51871,South Amherst,USA,1668.0
51872,Chāndūr Bāzār,Indien,18780.0
51873,Vânjuleţ,Rumänien,1894.0
51874,La Roche-de-Glun,Frankrike,2956.0
51875,Soko Banja,Serbien,0.0
51876,Paz de Río,Colombia,0.0
51877,Pointe-Noire,Guadeloupe,7749.0
51878,Progreso de Zaragoza,Mexiko,2474.0
51879,Tignieu-Jameyzieu,Frankrike,5244.0
51880,Wallsend,United Kingdom,42739.0
51881,Le Pizou,Frankrike,1156.0
51882,Ede,Nederländerna,67670.0
51883,Cheia,Rumänien,1097.0
51884,Taillades,Frankrike,1910.0
51885,Boshrūyeh,Iran,0.0
51886,Isola del Giglio,Italien,1406.0
51887,Los Olivos,Mexiko,1054.0
51888,Parchowo,Polen,1019.0
51889,Patiya,Bangladesh,51360.0
51890,Ayetoro,Nigeria,0.0
51891,La Palma,Mexiko,1242.0
51892,West Side Highway,USA,5517.0
51893,Ashoknagar Kalyangarh,Indien,111475.0
51894,Nejapa de Madero,Mexiko,1513.0
51895,Nizhnegorskiy,Ukraina,8741.0
51896,Itapetininga,Brasilien,126243.0
51897,South River,USA,16399.0
51898,Las Tunas,Mexiko,1311.0
51899,North Vacherie,USA,2346.0
51900,Bellefonte,USA,6248.0
51901,Mampurog,Filippinerna,2310.0
51902,Malacampa,Filippinerna,4537.0
51903,Dassow,Tyskland,3242.0
51904,Escalquens,Frankrike,6162.0
51905,Rabastens-de-Bigorre,Frankrike,1391.0
51906,Schwedt (Oder),Tyskland,38001.0
51907,Prado-Sevilla,Colombia,0.0
51908,Bagumbayan,Filippinerna,4062.0
51909,Kupiskis,Litauen,8263.0
51910,La Planada (El Arenal),Mexiko,1117.0
51911,Outjo,,6557.0
51912,Pusey,Frankrike,1148.0
51913,Hergiswil,Schweiz,5437.0
51914,Kavajë,Albanien,29354.0
51915,Malingao,Filippinerna,1121974.0
51916,Lloydminster,Kanada,27000.0
51917,Bucovineni,Rumänien,3885.0
51918,Waterloo,Kanada,4064.0
51919,Křižanov,Czechia,1832.0
51920,Saguing,Filippinerna,5073.0
51921,Bell Post Hill,Australien,4919.0
51922,Pajares de Adaja,Spanien,185.0
51923,Chiang Saen,Thailand,10807.0
51924,Colonna,Italien,3620.0
51925,Somoskőújfalu,Ungern,2296.0
51926,Huazangsi,Kina,0.0
51927,Vlokhoven,Nederländerna,3570.0
51928,Tân Việt,Vietnam,0.0
51929,Myski,Ryssland,44082.0
51930,Milly-la-Forêt,Frankrike,4860.0
51931,Ḩarīb,Yemen,0.0
51932,Böhl-Iggelheim,Tyskland,10797.0
51933,Arroyo Granizo,Mexiko,1349.0
51934,Mansehra,Pakistan,66486.0
51935,Dravosburg,USA,1763.0
51936,Koupéla,Burkina Faso,32052.0
51937,Kingsburg,USA,11824.0
51938,Maniowy,Polen,2380.0
51939,Combee Settlement,USA,5577.0
51940,Grand Bay,USA,3672.0
51941,Oberengstringen / Zentrum,Schweiz,1271.0
51942,Corteolona,Italien,2023.0
51943,Fairmount,USA,2851.0
51944,Villa Mantero,Argentina,1526.0
51945,Airolo,Schweiz,1559.0
51946,Eremo,Italien,5232.0
51947,Hanamā‘ulu,USA,3835.0
51948,Subagan,Indonesien,0.0
51949,Akçaabat,Turkiet,45105.0
